,recomm,words,words_Update
香肴肉,1122,香肴-肉,香肴-肉
糯米糖藕,1106,糯米-糖-藕,糯米-糖-藕
鸡丝凉米线,1106,鸡丝-凉-米线,鸡丝-凉-米线
奇妙虾球,1103,奇妙-虾球,奇妙-虾球
糖油粑粑,1101,糖油-粑-粑,糖油-粑粑
手抓羊肉,1100,手-抓-羊肉,手-抓-羊肉
杭州熏鱼,1098,杭州-熏鱼,杭州-熏鱼
酥皮奶油蘑菇汤,1098,酥皮-奶油-蘑菇-汤,酥皮-奶油-蘑菇-汤
甜蜜蜜,1091,甜蜜蜜,甜蜜蜜
芝士蛋糕,1090,芝士-蛋糕,芝士-蛋糕
脑花,1089,脑花,脑花
黄油烤红薯,1087,黄油-烤红薯,黄油-烤红薯
炸豆皮,1086,炸豆皮,炸豆皮
番茄锅底,1086,番茄-锅底,番茄-锅底
油条,1084,油条,油条
卤煮火烧,1082,卤-煮-火烧,卤-煮-火烧
金网脆皮虾肠粉,1082,金网-脆皮-虾-肠粉,金网-脆皮-虾-肠粉
包子,1078,包子,包子
你没吃过我的豆腐,1076,你-没吃过-我-的-豆腐,没吃过-豆腐
寿司,1075,寿司,寿司
蟹黄饺子,1075,蟹黄-饺子,蟹黄-饺子
铁板茄子,1074,铁板-茄子,铁板-茄子
烤羊肉串,1066,烤羊肉串,烤羊肉串
秘制嫩牛肉,1056,秘制-嫩-牛肉,秘制-嫩-牛肉
雪媚娘,1055,雪媚娘,雪媚娘
桂花糖芋苗,1046,桂花-糖芋-苗,桂花-糖芋-苗
小炒黄牛肉,1044,小炒-黄-牛肉,小炒-黄-牛肉
珍宝辣椒蟹,1043,珍宝-辣椒-蟹,珍宝-辣椒-蟹
陈皮骨,1035,陈皮骨,陈皮骨
干锅茶树菇,1032,干锅-茶树菇,干锅-茶树菇
葱焖虾,1027,葱-焖-虾,葱-焖-虾
三鲜包,1026,三鲜-包,三鲜-包
有机花菜,1023,有机-花菜,有机-花菜
口水鲶鱼,1021,口水-鲶鱼,口水-鲶鱼
蟹粉蛋,1021,蟹粉-蛋,蟹粉-蛋
印度飞饼,1019,印度-飞饼,印度-飞饼
爆肚,1017,爆肚,爆肚
沙田乳鸽,1015,沙田-乳鸽,沙田-乳鸽
虾仁,1012,虾仁,虾仁
烤牛肉,1008,烤牛肉,烤牛肉
销魂钢管鸡,1002,销魂-钢管-鸡,销魂-钢管-鸡
干烧鳝段,1001,干烧鳝-段,干烧鳝-段
串串虾,998,串串-虾,串串-虾
咖喱鱼蛋,994,咖喱-鱼蛋,咖喱-鱼蛋
局气酥皮虾,994,局气-酥皮-虾,局气-酥皮-虾
芒果粒三文鱼,993,芒果-粒-三文鱼,芒果-粒-三文鱼
香锅牛蛙,993,香锅-牛蛙,香锅-牛蛙
烤翅,992,烤-翅,烤-翅
羊汤,992,羊汤,羊汤
咖喱面包鸡,990,咖喱-面包-鸡,咖喱-面包-鸡
金枪鱼沙拉,990,金枪鱼-沙拉,金枪鱼-沙拉
樱桃鹅肝,986,樱桃-鹅-肝,樱桃-鹅-肝
至尊系列pizza,982,至尊-系列-pizza,至尊-系列-披萨
鸳鸯锅,982,鸳鸯锅,鸳鸯锅
糯米排骨,981,糯米-排骨,糯米-排骨
烤银鳕鱼,980,烤-银-鳕鱼,烤-银-鳕鱼
干煸鱿鱼须,979,干-煸-鱿鱼-须,干-煸-鱿鱼-须
金沙红米腸,979,金沙-红米腸,金沙-红米腸
民间烤枣馍,974,民间-烤枣-馍,民间-烤枣-馍
鸭四宝,973,鸭四宝,鸭四宝
